experiment;model;window;samples_summarized;accuracy_train;accuracy_test;presicion;recall;f1_score;train_acc_ten_above;train_test_hundred;f1_hundred;invalid_window
1;DT;13100;400;99.9984096692112;100.0;100.0;100.0;100.0;0;0;1;1
1;DUM;13100;400;50.0381679389313;49.764631043257;49.735649546827794;50.299172501591336;50.01582378631559;0;0;0;0
1;KNN;13100;400;100.0;100.0;100.0;100.0;100.0;0;1;1;1
1;MLP;13100;400;100.0;99.99363867684478;100.0;99.98726925525143;99.99363422242028;0;0;0;0
1;NB;13100;400;99.92843511450384;99.94910941475828;99.8982576624698;100.0;99.94910293930526;0;0;0;0
1;RF;13100;400;99.99045801526718;99.98091603053436;100.0;99.9618077657543;99.98090023556377;0;0;0;0
1;SVM;13100;400;100.0;100.0;100.0;100.0;100.0;0;1;1;1
1;XGB;13100;400;99.9984096692112;99.99363867684478;100.0;99.98726925525143;99.99363422242028;0;0;0;0
1;DT;26200;200;99.99125318066156;99.98727735368956;100.0;99.97481108312344;99.98740395515809;0;0;0;0
1;DUM;26200;200;49.93002544529262;49.920483460559794;50.43040234648984;49.80478589420655;50.1156417324082;0;0;0;0
1;KNN;26200;200;99.9984096692112;100.0;100.0;100.0;100.0;0;0;1;1
1;MLP;26200;200;99.95467557251908;99.94274809160304;99.94332493702773;99.94332493702773;99.94332493702773;0;0;0;0
1;NB;26200;200;99.49666030534353;99.5356234096692;99.08898040683889;100.0;99.5424058170877;0;0;0;0
1;RF;26200;200;99.98886768447836;99.98727735368956;99.99370197757904;99.98110831234256;99.98740474840984;0;0;0;0
1;SVM;26200;200;99.9984096692112;100.0;100.0;100.0;100.0;0;0;1;1
1;XGB;26200;200;99.98409669211196;99.97455470737914;99.98110593273712;99.96851385390428;99.97480949681967;0;0;0;0
2;DT;10;9680;100.0;90.0;90.0;100.0;93.33333333333333;1;4;4;5
2;DUM;10;9680;75.0;0.0;0.0;0.0;0.0;5;0;0;5
2;KNN;10;9680;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;MLP;10;9680;50.0;50.0;50.0;100.0;66.66666666666666;0;0;0;0
2;NB;10;9680;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;RF;10;9680;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;SVM;10;9680;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;XGB;10;9680;50.0;50.0;0.0;0.0;0.0;0;0;0;0
2;DT;11;8800;100.0;93.33333333333333;90.0;100.0;93.33333333333333;1;4;4;5
2;DUM;11;8800;52.222222222222214;26.666666666666664;20.0;20.0;20.0;4;0;1;5
2;KNN;11;8800;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;MLP;11;8800;52.222222222222214;43.33333333333333;36.666666666666664;80.0;49.99999999999999;2;0;0;2
2;NB;11;8800;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;RF;11;8800;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;SVM;11;8800;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;XGB;11;8800;52.222222222222214;43.33333333333333;6.666666666666666;20.0;10.0;2;0;0;2
2;DT;16;6050;100.0;95.0;93.33333333333333;100.0;96.0;1;4;4;5
2;DUM;16;6050;51.41025641025641;58.33333333333333;40.0;40.0;40.0;3;0;2;5
2;KNN;16;6050;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;MLP;16;6050;71.53846153846153;63.33333333333333;63.33333333333333;100.0;73.33333333333333;2;2;2;4
2;NB;16;6050;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;RF;16;6050;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;SVM;16;6050;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;XGB;16;6050;53.07692307692307;36.666666666666664;13.333333333333332;40.0;20.0;4;0;0;4
