index;experiment;model;window;samples_summarized;accuracy_train;accuracy_test;presicion;recall;f1_score;train_acc_ten_above;train_test_hundred;f1_hundred;invalid_window
41;1;DT;200;26200;100.0;100.0;100.0;100.0;100.0;0;1;1;1
40;1;DUM;200;26200;50.10416666666667;53.75;52.89256198347108;54.23728813559322;53.55648535564853;0;0;0;0
43;1;KNN;200;26200;100.0;100.0;100.0;100.0;100.0;0;1;1;1
46;1;MLP;200;26200;100.0;100.0;100.0;100.0;100.0;0;1;1;1
42;1;NB;200;26200;100.0;100.0;100.0;100.0;100.0;0;1;1;1
45;1;RF;200;26200;50.208333333333336;49.16666666666666;49.16666666666666;100.0;65.92178770949721;0;0;0;0
47;1;SVM;200;26200;100.0;100.0;100.0;100.0;100.0;0;1;1;1
44;1;XGB;200;26200;50.208333333333336;49.16666666666666;49.16666666666666;100.0;65.92178770949721;0;0;0;0
49;1;DT;400;13100;100.0;100.0;100.0;100.0;100.0;0;1;1;1
48;1;DUM;400;13100;50.9375;52.083333333333336;50.42372881355932;51.293103448275865;50.85470085470085;0;0;0;0
51;1;KNN;400;13100;100.0;100.0;100.0;100.0;100.0;0;1;1;1
54;1;MLP;400;13100;100.0;100.0;100.0;100.0;100.0;0;1;1;1
50;1;NB;400;13100;100.0;100.0;100.0;100.0;100.0;0;1;1;1
53;1;RF;400;13100;50.41666666666666;48.333333333333336;48.333333333333336;100.0;65.1685393258427;0;0;0;0
55;1;SVM;400;13100;100.0;100.0;100.0;100.0;100.0;0;1;1;1
52;1;XGB;400;13100;50.41666666666666;48.333333333333336;48.333333333333336;100.0;65.1685393258427;0;0;0;0
57;1;DT;800;6550;100.0;100.0;100.0;100.0;100.0;0;1;1;1
56;1;DUM;800;6550;50.15625;47.8125;46.98544698544699;47.88135593220339;47.42917103882476;0;0;0;0
59;1;KNN;800;6550;100.0;100.0;100.0;100.0;100.0;0;1;1;1
62;1;MLP;800;6550;100.0;100.0;100.0;100.0;100.0;0;1;1;1
58;1;NB;800;6550;100.0;100.0;100.0;100.0;100.0;0;1;1;1
61;1;RF;800;6550;100.0;100.0;100.0;100.0;100.0;0;1;1;1
63;1;SVM;800;6550;100.0;100.0;100.0;100.0;100.0;0;1;1;1
60;1;XGB;800;6550;50.208333333333336;49.16666666666666;49.16666666666666;100.0;65.92178770949721;0;0;0;0
33;1;DT;1310;4000;100.0;100.0;100.0;100.0;100.0;0;1;1;1
32;1;DUM;1310;4000;49.475190839694655;50.76335877862596;50.0;50.258397932816536;50.128865979381445;0;0;0;0
35;1;KNN;1310;4000;100.0;100.0;100.0;100.0;100.0;0;1;1;1
38;1;MLP;1310;4000;100.0;100.0;100.0;100.0;100.0;0;1;1;1
34;1;NB;1310;4000;100.0;100.0;100.0;100.0;100.0;0;1;1;1
37;1;RF;1310;4000;100.0;100.0;100.0;100.0;100.0;0;1;1;1
39;1;SVM;1310;4000;100.0;100.0;100.0;100.0;100.0;0;1;1;1
36;1;XGB;1310;4000;100.0;100.0;100.0;100.0;100.0;0;1;1;1
65;1;DT;1600;3275;100.0;100.0;100.0;100.0;100.0;0;1;1;1
64;1;DUM;1600;3275;49.98697916666666;49.73958333333333;48.734177215189874;49.09670563230606;48.91476971942827;0;0;0;0
67;1;KNN;1600;3275;100.0;100.0;100.0;100.0;100.0;0;1;1;1
70;1;MLP;1600;3275;100.0;100.0;100.0;100.0;100.0;0;1;1;1
66;1;NB;1600;3275;100.0;100.0;100.0;100.0;100.0;0;1;1;1
69;1;RF;1600;3275;100.0;100.0;100.0;100.0;100.0;0;1;1;1
71;1;SVM;1600;3275;100.0;100.0;100.0;100.0;100.0;0;1;1;1
68;1;XGB;1600;3275;100.0;100.0;100.0;100.0;100.0;0;1;1;1
25;1;DT;3275;1600;100.0;100.0;100.0;100.0;100.0;0;1;1;1
24;1;DUM;3275;1600;50.1145038167939;50.203562340966926;50.27848101265823;50.45731707317073;50.36774029926452;0;0;0;0
27;1;KNN;3275;1600;100.0;100.0;100.0;100.0;100.0;0;1;1;1
30;1;MLP;3275;1600;100.0;100.0;100.0;100.0;100.0;0;1;1;1
26;1;NB;3275;1600;100.0;100.0;100.0;100.0;100.0;0;1;1;1
29;1;RF;3275;1600;100.0;100.0;100.0;100.0;100.0;0;1;1;1
31;1;SVM;3275;1600;100.0;100.0;100.0;100.0;100.0;0;1;1;1
28;1;XGB;3275;1600;99.98091603053436;100.0;100.0;100.0;100.0;0;0;1;1
73;1;DT;4000;1310;100.0;100.0;100.0;100.0;100.0;0;1;1;1
72;1;DUM;4000;1310;49.442708333333336;50.4375;50.62552126772311;50.39435450394355;50.509673392968594;0;0;0;0
75;1;KNN;4000;1310;100.0;100.0;100.0;100.0;100.0;0;1;1;1
78;1;MLP;4000;1310;100.0;100.0;100.0;100.0;100.0;0;1;1;1
74;1;NB;4000;1310;100.0;100.0;100.0;100.0;100.0;0;1;1;1
77;1;RF;4000;1310;100.0;100.0;100.0;100.0;100.0;0;1;1;1
79;1;SVM;4000;1310;100.0;100.0;100.0;100.0;100.0;0;1;1;1
76;1;XGB;4000;1310;100.0;100.0;100.0;100.0;100.0;0;1;1;1
17;1;DT;6550;800;100.0;100.0;100.0;100.0;100.0;0;1;1;1
16;1;DUM;6550;800;49.85368956743002;49.87277353689568;49.9485596707819;49.33943089430895;49.64212678936605;0;0;0;0
19;1;KNN;6550;800;100.0;100.0;100.0;100.0;100.0;0;1;1;1
22;1;MLP;6550;800;100.0;100.0;100.0;100.0;100.0;0;1;1;1
18;1;NB;6550;800;100.0;100.0;100.0;100.0;100.0;0;1;1;1
21;1;RF;6550;800;100.0;100.0;100.0;100.0;100.0;0;1;1;1
23;1;SVM;6550;800;100.0;100.0;100.0;100.0;100.0;0;1;1;1
20;1;XGB;6550;800;100.0;100.0;100.0;100.0;100.0;0;1;1;1
9;1;DT;13100;400;99.9984096692112;100.0;100.0;100.0;100.0;0;0;1;1
8;1;DUM;13100;400;50.0381679389313;49.764631043257;49.735649546827794;50.299172501591336;50.01582378631559;0;0;0;0
11;1;KNN;13100;400;100.0;100.0;100.0;100.0;100.0;0;1;1;1
14;1;MLP;13100;400;100.0;99.99363867684478;100.0;99.98726925525143;99.99363422242028;0;0;0;0
10;1;NB;13100;400;99.92843511450384;99.94910941475828;99.8982576624698;100.0;99.94910293930526;0;0;0;0
13;1;RF;13100;400;99.99045801526718;99.98091603053436;100.0;99.9618077657543;99.98090023556377;0;0;0;0
15;1;SVM;13100;400;100.0;100.0;100.0;100.0;100.0;0;1;1;1
12;1;XGB;13100;400;99.9984096692112;99.99363867684478;100.0;99.98726925525143;99.99363422242028;0;0;0;0
1;1;DT;26200;200;99.99125318066156;99.98727735368956;100.0;99.97481108312344;99.98740395515809;0;0;0;0
0;1;DUM;26200;200;49.93002544529262;49.920483460559794;50.43040234648984;49.80478589420655;50.1156417324082;0;0;0;0
3;1;KNN;26200;200;99.9984096692112;100.0;100.0;100.0;100.0;0;0;1;1
6;1;MLP;26200;200;99.95467557251908;99.94274809160304;99.94332493702773;99.94332493702773;99.94332493702773;0;0;0;0
2;1;NB;26200;200;99.49666030534353;99.5356234096692;99.08898040683889;100.0;99.5424058170877;0;0;0;0
5;1;RF;26200;200;99.98886768447836;99.98727735368956;99.99370197757904;99.98110831234256;99.98740474840984;0;0;0;0
7;1;SVM;26200;200;99.9984096692112;100.0;100.0;100.0;100.0;0;0;1;1
4;1;XGB;26200;200;99.98409669211196;99.97455470737914;99.98110593273712;99.96851385390428;99.97480949681967;0;0;0;0
45;2;DT;10;9680;100.0;100.0;100.0;100.0;100.0;0;1;1;1
46;2;DT;10;9680;100.0;50.0;50.0;100.0;66.66666666666666;1;0;0;1
47;2;DT;10;9680;100.0;100.0;100.0;100.0;100.0;0;1;1;1
48;2;DT;10;9680;100.0;100.0;100.0;100.0;100.0;0;1;1;1
49;2;DT;10;9680;100.0;100.0;100.0;100.0;100.0;0;1;1;1
40;2;DUM;10;9680;75.0;0.0;0.0;0.0;0.0;1;0;0;1
41;2;DUM;10;9680;75.0;0.0;0.0;0.0;0.0;1;0;0;1
42;2;DUM;10;9680;75.0;0.0;0.0;0.0;0.0;1;0;0;1
43;2;DUM;10;9680;75.0;0.0;0.0;0.0;0.0;1;0;0;1
44;2;DUM;10;9680;75.0;0.0;0.0;0.0;0.0;1;0;0;1
55;2;KNN;10;9680;100.0;100.0;100.0;100.0;100.0;0;1;1;1
56;2;KNN;10;9680;100.0;100.0;100.0;100.0;100.0;0;1;1;1
57;2;KNN;10;9680;100.0;100.0;100.0;100.0;100.0;0;1;1;1
58;2;KNN;10;9680;100.0;100.0;100.0;100.0;100.0;0;1;1;1
59;2;KNN;10;9680;100.0;100.0;100.0;100.0;100.0;0;1;1;1
70;2;MLP;10;9680;50.0;50.0;50.0;100.0;66.66666666666666;0;0;0;0
71;2;MLP;10;9680;50.0;50.0;50.0;100.0;66.66666666666666;0;0;0;0
72;2;MLP;10;9680;50.0;50.0;50.0;100.0;66.66666666666666;0;0;0;0
73;2;MLP;10;9680;50.0;50.0;50.0;100.0;66.66666666666666;0;0;0;0
74;2;MLP;10;9680;50.0;50.0;50.0;100.0;66.66666666666666;0;0;0;0
50;2;NB;10;9680;100.0;100.0;100.0;100.0;100.0;0;1;1;1
51;2;NB;10;9680;100.0;100.0;100.0;100.0;100.0;0;1;1;1
52;2;NB;10;9680;100.0;100.0;100.0;100.0;100.0;0;1;1;1
53;2;NB;10;9680;100.0;100.0;100.0;100.0;100.0;0;1;1;1
54;2;NB;10;9680;100.0;100.0;100.0;100.0;100.0;0;1;1;1
65;2;RF;10;9680;100.0;100.0;100.0;100.0;100.0;0;1;1;1
